System,Dataset,Model,MAE,MAPE,RMSE
batlik,strawberry.csv,Linear Regression,0.30497190349309883,1.0951523987205,0.43102306892058995
batlik,strawberry.csv,XGBoost,0.1154937308785408,0.6036068800419739,0.14807348616679133
batlik,village.csv,Linear Regression,0.4930574569467234,2.062688804992026,0.6771477755242559
batlik,village.csv,XGBoost,0.02610916660086458,0.10346400157535664,0.07091867678443452
batlik,village.csv,Linear Regression,0.48574551730902027,2.0306059057781174,0.6316074280631417
batlik,village.csv,XGBoost,0.02395488369674416,0.07289642537090356,0.06799900690816213
batlik,village.csv,Linear Regression,0.49282573291599074,2.2198149542098764,0.6677124482747675
batlik,village.csv,XGBoost,0.029880109476538432,0.11069245921240135,0.08893980279272926
batlik,village.csv,Linear Regression,0.4895325084179749,2.0560676884639517,0.6795552298200253
batlik,village.csv,XGBoost,0.0286766775030044,0.10472954174699123,0.09757065492858118
batlik,village.csv,Linear Regression,0.4942911711787471,2.2398345146805414,0.6986739272051985
batlik,village.csv,XGBoost,0.028738733683681985,0.11629752436239785,0.10054360914135906
dconvert,jpeg-large.csv,Linear Regression,0.34366412840385835,3.775983369230674,0.469428445355178
dconvert,jpeg-large.csv,XGBoost,0.06708432352028362,1.0120169212826233,0.09407315696985717
dconvert,jpeg-large.csv,Linear Regression,0.3272961591868461,1.9315918213884882,0.43858575081876155
dconvert,jpeg-large.csv,XGBoost,0.06609391931870388,0.552050489517178,0.09309300383499354
dconvert,jpeg-large.csv,Linear Regression,0.332057142732951,2.709759160414446,0.4391519921222424
dconvert,jpeg-large.csv,XGBoost,0.06623917346429117,0.6641222789269889,0.09444725270493794
dconvert,jpeg-large.csv,Linear Regression,0.33762516538636134,3.421178573183277,0.45477576286719856
dconvert,jpeg-large.csv,XGBoost,0.0664359175067498,0.9802361826862199,0.09404446520617464
dconvert,jpeg-large.csv,Linear Regression,0.339882170375196,3.0776049803631067,0.4567944758028004
dconvert,jpeg-large.csv,XGBoost,0.06675837393775427,1.076592179532143,0.097608867584358
dconvert,jpeg-medium.csv,Linear Regression,0.3459496105674455,1.2675074086773892,0.4718368970111287
dconvert,jpeg-medium.csv,XGBoost,0.06742943581410138,0.3776648646072211,0.09067017202318546
dconvert,jpeg-medium.csv,Linear Regression,0.32725896670763926,1.418848497123577,0.43888134187236333
dconvert,jpeg-medium.csv,XGBoost,0.065810546436575,0.4481461978465535,0.08886548123063041
dconvert,jpeg-medium.csv,Linear Regression,0.3319259907255042,1.3433298862243586,0.4389150049005419
dconvert,jpeg-medium.csv,XGBoost,0.06579468192502437,0.40531338773699177,0.08974552020717359
dconvert,jpeg-medium.csv,Linear Regression,0.33733395997442106,1.4581057771478985,0.45548726952548396
dconvert,jpeg-medium.csv,XGBoost,0.0675728974056518,0.44796472601045234,0.09197495599886228
dconvert,jpeg-medium.csv,Linear Regression,0.3396382233441361,1.3773915592042791,0.4578360441416716
dconvert,jpeg-medium.csv,XGBoost,0.06770565935523697,0.42934723580911643,0.09334535598993215
dconvert,jpeg-small.csv,Linear Regression,0.5774393761530778,1.1051278644823088,0.7396243504745426
dconvert,jpeg-small.csv,XGBoost,0.5131238858377477,1.126880152657373,0.6696055191812591
dconvert,jpeg-small.csv,Linear Regression,0.568956565700791,1.226586510434887,0.7222311655156172
dconvert,jpeg-small.csv,XGBoost,0.5140227838895169,1.1987787704600388,0.6648573747208163
dconvert,jpeg-small.csv,Linear Regression,0.5969845487991942,1.11605630689438,0.7552102761319899
dconvert,jpeg-small.csv,XGBoost,0.5124205911801112,1.0455281458022512,0.6637280705910782
dconvert,jpeg-small.csv,Linear Regression,0.5853337170336592,1.1254349116300693,0.7404707090715883
dconvert,jpeg-small.csv,XGBoost,0.5048006483461338,1.0766863408726097,0.6520955004241779
dconvert,jpeg-small.csv,Linear Regression,0.5784921534407585,1.19128527862359,0.7385389439648853
dconvert,jpeg-small.csv,XGBoost,0.510943772336002,1.1699208509499002,0.6644712679523164
dconvert,png-large.csv,Linear Regression,0.3388475755981786,2.1181315438244153,0.4337567706676139
dconvert,png-large.csv,XGBoost,0.08596108434003062,0.6037140802805799,0.11220171974435002
dconvert,png-large.csv,Linear Regression,0.3263698054452782,2.0944552291373006,0.4131876068689267
dconvert,png-large.csv,XGBoost,0.08503932339076162,0.5849941866324823,0.11191176248633293
dconvert,png-large.csv,Linear Regression,0.32914155128207623,2.0060882767413646,0.4166189900421594
dconvert,png-large.csv,XGBoost,0.08388201418401264,0.5876680575009836,0.11032029611511261
dconvert,png-large.csv,Linear Regression,0.33320404089943345,2.2318146815464233,0.42770475157198146
dconvert,png-large.csv,XGBoost,0.08398284143542425,0.670120082714252,0.10966965313988784
dconvert,png-large.csv,Linear Regression,0.33640176458703547,1.8285145524003215,0.4273880062053091
dconvert,png-large.csv,XGBoost,0.08486808745756264,0.5495328020206176,0.11295848615384563
dconvert,png-medium.csv,Linear Regression,0.28021329438873765,0.8604604452905161,0.3545587128761706
dconvert,png-medium.csv,XGBoost,0.18853964342235477,0.6441614303413583,0.23953373082454302
dconvert,png-medium.csv,Linear Regression,0.28057577517262006,0.89682996462571,0.35160640007178084
dconvert,png-medium.csv,XGBoost,0.1950796962544441,0.6977336232624122,0.24687740822978047
dconvert,png-medium.csv,Linear Regression,0.27657295693933265,0.8428925964962592,0.34816741940676993
dconvert,png-medium.csv,XGBoost,0.19167738028170167,0.6248880744123704,0.2410576159969477
dconvert,png-medium.csv,Linear Regression,0.27885938143372846,0.9071103829602798,0.35087879647473424
dconvert,png-medium.csv,XGBoost,0.19241189871582398,0.6890102348190037,0.24477190189986975
